incident_num,name,location,apt_lot,date_time,lat,lng
2012208726,911 CHECKS,3101 OLD HIGHWAY 63 S-CO,CLUBHSE,2012-11-01 02:22:45,38.916180,-92.305030
2012208725,DISTURBANCE,1407 BODIE DR-CO,,2012-11-01 02:22:01,39.006020,-92.318220
2012208722,SPECIAL ASSIGNMENT,SNOWY OWL DR-CO/ARCTIC FOX DR-CO,,2012-11-01 02:16:57,38.9905,-92.3349
2012208721,ASSIST FIRE,16 BUSINESS LOOP 70 E-CO,,2012-11-01 02:14:28,38.964680,-92.337300
2012208739,FORGERY,110 NIFONG BLVD E-CO,A,2012-11-01 02:08:00,38.908720,-92.338280
2012208718,BURGLARY,2102 WHISPERING MEADOWS CT-CO,,2012-11-01 02:07:38,38.972250,-92.265820
2012208714,TRAFFIC STOP,STADIUM BLVD E-CO/ROCK QUARRY RD-CO,,2012-11-01 02:00:07,38.9347,-92.3231
2012208711,TRAFFIC STOP,PARIS RD-CO/AMMONETTE ST-CO,,2012-11-01 01:57:18,38.9626,-92.3123
2012208713,HARASSMENT,1600 PARKSIDE DR-CO,3,2012-11-01 01:56:51,38.970160,-92.352700
2012208705,TRAFFIC STOP,TEXAS AV W-CO/KATHY DR-CO,,2012-11-01 01:51:14,38.9699,-92.348
2012208702,TRAFFIC STOP,BROADWAY E-CO/WAUGH ST-CO,,2012-11-01 01:49:13,38.9515,-92.3237
2012208701,TRAFFIC STOP,OAKLAND RIDGE DR-CO/OAKLAND GRAVEL RD-CO,,2012-11-01 01:49:01,38.9836,-92.3025
2012208709,BURGLARY,102 PINEWOOD DR-CO,B,2012-11-01 01:47:01,38.954510,-92.356450
2012208697,TRAFFIC STOP,900 CONLEY RD-CO,,2012-11-01 01:46:15,38.960390,-92.293010
2012208695,TRAFFIC STOP,ROLLINS ST-CO/COLLEGE AV S-CO,,2012-11-01 01:40:44,38.9422,-92.3221
2012208736,VANDALISM,4903 BLK ROYAL LYTHAM DR-CO,,2012-11-01 01:39:46,,
2012208693,ASSIST OFFICER,701 ASH ST E-CO,,2012-11-01 01:32:40,38.953960,-92.329370
2012208691,TRAFFIC STOP,BENTON ST-CO/JEWELL AV-CO,,2012-11-01 01:26:05,38.9622,-92.341
2012208690,ASSIST OFFICER,312 OAK MOUNT DR-CO,,2012-11-01 01:20:51,38.955100,-92.277290
2012208683,FIREWORKS,1900 BLUE RIDGE RD-CO,PARK,2012-11-01 01:19:37,38.984310,-92.310360
2012208679,BURGLARY,1600 HERSHEY CT-CO,,2012-11-01 01:14:21,38.967120,-92.279220
2012208678,TRAFFIC STOP,FELLOWS PL-CO/ROCK QUARRY RD-CO,,2012-11-01 01:13:34,38.934,-92.3235
2012208688,OTHER OFFENSE,600 LEGION LN S-CO,,2012-11-01 01:13:16,38.943020,-92.283520
2012208681,DWI,GRINDSTONE PKWY-CO/BEARFIELD RD-CO,,2012-11-01 01:10:10,38.9133,-92.304
2012208668,TRAFFIC STOP,COLLEGE AV N-CO/HICKORY ST-CO,,2012-11-01 01:02:59,38.9589,-92.3213
2012208670,911 CHECKS,700 GARTH AV N-CO,,2012-11-01 01:01:49,38.959600,-92.338420
2012208667,C&I; DRIVING,PARIS RD-CO/COLLEGE AV N-CO,,2012-11-01 01:01:04,38.9564,-92.3216
2012208671,C&I; DRIVING,2201 SMILEY LN-CO,,2012-11-01 01:00:59,38.995350,-92.305530
2012208673,LARCENY,807 BUSINESS LOOP 70 W-CO,,2012-11-01 00:59:30,38.966500,-92.349570
2012208663,VANDALISM,400 BLK BOURN AV-CO,,2012-11-01 00:54:35,38.949302,-92.372378
2012208662,SUSPICIOUS VEHICLE,1900 BUSINESS LOOP 70 E-CO,,2012-11-01 00:52:38,38.962910,-92.309450
2012208659,TRAFFIC STOP,COLLEGE AV N-CO/ROGERS ST-CO,,2012-11-01 00:50:53,38.9564,-92.3216
2012208661,WARRANT,4511 WATERLOO DR-CO,A,2012-11-01 00:49:16,38.974400,-92.269270
2012208658,SUSPICIOUS INCIDENT,401 CLINKSCALES RD-CO,,2012-11-01 00:40:49,38.959570,-92.362770
2012208655,LEAVING THE SCENE ACCIDENT,BROADWAY E-CO/EIGHTH ST N-CO,,2012-11-01 00:38:10,38.9516,-92.3286
2012208654,911 CHECKS,206 MANOR DR-CO,,2012-11-01 00:36:49,38.950030,-92.362560
2012208656,SOLICITOR,I70 E-CO/HIGHWAY 63 CONNECTOR SB-CO,,2012-11-01 00:36:35,38.9617,-92.2921
2012208651,FRAUD,401 COLLEGE AV S-CO,,2012-11-01 00:32:18,38.947510,-92.322270
2012208644,TRAFFIC STOP,4151 PARIS RD-CO,,2012-11-01 00:26:48,38.992425,-92.285031
2012208639,DWI,600 BLK SEXTON RD W-CO,,2012-11-01 00:19:45,38.963121,-92.346391
2012208641,911 CHECKS,1701 TIMBER CREEK DR-CO,,2012-11-01 00:18:58,38.973250,-92.373420
2012208634,TRAFFIC STOP,ASHLAND RD-CO/COLLEGE AV S-CO,,2012-11-01 00:09:22,38.9389,-92.322
2012208632,TRAFFIC STOP,PARIS RD-CO/HIGHWAY 63 N NB-CO,,2012-11-01 00:06:34,38.9883,-92.2858
2012208627,TRAFFIC STOP,COLLEGE AV N-CO/WALNUT ST E-CO,,2012-10-31 23:56:42,38.9525,-92.3217
2012208623,DISTURBANCE,1901 BERNADETTE DR-CO,3B,2012-10-31 23:47:48,38.966200,-92.369030
2012208624,911 CHECKS,10 HITT ST-CO,A,2012-10-31 23:47:15,38.950820,-92.325310
2012208653,HARASSMENT,1004 STADIUM BLVD N-CO,A,2012-10-31 23:46:43,38.965910,-92.370710
2012208619,TRAFFIC STOP,2006 BROADWAY E-CO,,2012-10-31 23:43:44,38.948290,-92.308760
2012208630,SUSPICIOUS VEHICLE,SUNDECK DR-CO/SLOPE ST-CO,,2012-10-31 23:43:36,38.9801,-92.3087
2012208618,TRAFFIC STOP,NINTH ST S-CO/LOCUST ST-CO,,2012-10-31 23:42:39,38.9495,-92.3276
2012208620,911 CHECKS,4052 BETHEL ST-CO,,2012-10-31 23:42:09,,
2012208617,TRAFFIC STOP,STADIUM BLVD W-CO/FORUM BLVD-CO,,2012-10-31 23:41:58,38.9381,-92.3593
2012208614,ACCIDENT,600 BLK SEXTON RD W-CO,,2012-10-31 23:37:10,38.963121,-92.346391
2012208615,ACCIDENT,SEXTON RD W-CO/MIKEL ST-CO,,2012-10-31 23:37:08,38.9633,-92.3468
2012208612,TRAFFIC STOP,CLAUDELL LN-CO/WORLEY ST W-CO,,2012-10-31 23:35:30,38.9606,-92.3649
2012208611,TRAFFIC STOP,WILLIS AV-CO/BROADWAY E-CO,,2012-10-31 23:35:12,38.9514,-92.3208
2012208609,SPECIAL ASSIGNMENT,RICE RD-CO/LAFAYETTE CT-CO,,2012-10-31 23:33:02,38.974,-92.2558
2012208610,DISTURBANCE,1000 CLAUDELL LN-CO,103,2012-10-31 23:32:43,38.963570,-92.365470
2012208606,TRAFFIC STOP,OAKLAND GRAVEL RD-CO/BLUE RIDGE RD-CO,,2012-10-31 23:31:13,38.9855,-92.3025
2012208605,TRAFFIC STOP,UNIVERSITY AV-CO/MATTHEWS ST-CO,,2012-10-31 23:31:05,38.9464,-92.3234
2012208603,TRAFFIC STOP,KENNESAW RIDGE RD-CO/CHIPPEWA DR-CO,,2012-10-31 23:21:05,38.988395,-92.323399
2012208601,FRAUD,1201 GRINDSTONE PKWY-CO,A,2012-10-31 23:18:58,38.913120,-92.324050
2012208597,SPECIAL ASSIGNMENT,1715 BURLINGTON ST-CO,,2012-10-31 23:15:29,38.969880,-92.310120
2012208595,C&I; DRIVING,BROADWAY W-CO/STADIUM BLVD N-CO,,2012-10-31 23:09:16,38.954,-92.3714
2012208592,MISSING PERSON,3504 DELMAR CT-CO,,2012-10-31 23:05:43,38.911810,-92.302250
2012208585,DISTURBANCE,PROVIDENCE RD N-CO/SMILEY LN-CO,,2012-10-31 22:56:29,38.9937,-92.3331
2012208581,TRAFFIC STOP,FORUM BLVD-CO/ELSDON DR-CO,,2012-10-31 22:51:10,38.8968,-92.355
2012208579,LARCENY,900 CONLEY RD-CO,,2012-10-31 22:42:15,38.960390,-92.293010
2012208598,LARCENY,807 BUSINESS LOOP 70 W-CO,,2012-10-31 22:40:22,38.966500,-92.349570
2012208583,LARCENY,1004 STADIUM BLVD N-CO,A,2012-10-31 22:38:44,38.965910,-92.370710
2012208577,CHECK OPEN BUSINESS,3100 BROADWAY W-CO,,2012-10-31 22:37:44,38.953330,-92.383650
2012208575,911 CHECKS,2301 WORLEY ST W-CO,,2012-10-31 22:25:44,38.962900,-92.376090
2012208576,911 CHECKS,933 OLD PLANK RD W-CO,,2012-10-31 22:22:16,,
2012208568,911 CHECKS,14 ALBANY DR-CO,,2012-10-31 22:15:15,38.949910,-92.288350
2012208566,LOCKOUT,3105 CARMELLO ROCK DR-CO,,2012-10-31 22:09:34,38.984870,-92.382380
2012208562,911 CHECKS,500 WALNUT ST E-CO,,2012-10-31 22:05:39,38.952240,-92.331580
2012208557,ACCIDENT,FAIRVIEW RD S-CO/MIDDLEBUSH DR-CO,,2012-10-31 22:00:02,38.9377,-92.381
2012208559,LEAVING THE SCENE ACCIDENT,222 BROADWAY E-CO,,2012-10-31 21:55:13,38.951020,-92.334450
2012208555,LAW ALARM,3911 SAVOY DR-CO,,2012-10-31 21:54:42,38.963620,-92.393480
2012208553,LAW ALARM,1001 WORLEY ST W-CO,,2012-10-31 21:54:10,38.960010,-92.353240
2012208556,TRAFFIC HAZARD,BROADWAY E-CO/PROVIDENCE RD N-CO,,2012-10-31 21:53:10,38.9517,-92.3341
2012208551,CIVIL MATTER,1021 BROADWAY E-CO,,2012-10-31 21:45:28,38.951660,-92.325770
2012208542,TRAFFIC STOP,SCOTT BLVD-CO/GEORGETOWN DR-CO,,2012-10-31 21:38:40,38.9395,-92.3996
2012208540,TRAFFIC STOP,CITY,,2012-10-31 21:36:24,38.9525,-92.3305
2012208582,LARCENY,1404 AVATAR CT-CO,,2012-10-31 21:35:01,38.993640,-92.318010
2012208539,ACCIDENT,209 EIGHTH ST S-CO,,2012-10-31 21:32:20,38.949200,-92.329220
2012208560,ACCIDENT,CONLEY RD-CO/TRIMBLE RD-CO,,2012-10-31 21:29:18,38.9489,-92.2942
2012208533,911 CHECKS,1612 PROVIDENCE RD N-CO,,2012-10-31 21:26:15,38.970390,-92.331990
2012208531,911 CHECKS,1612 PROVIDENCE RD N-CO,159,2012-10-31 21:23:38,38.970390,-92.331990
2012208528,MISCELLANEOUS SERVICE,303 KEENE ST N-CO,,2012-10-31 21:22:22,38.954740,-92.290730
2012208527,CHECK OPEN BUSINESS,3001 BROADWAY W-CO,,2012-10-31 21:22:10,38.956960,-92.382470
2012208529,ACCIDENT,PROVIDENCE RD S-CO/STEWART RD E-CO,,2012-10-31 21:16:13,38.946,-92.3345
2012208558,SHOPLIFTING,2200 ASH ST W-CO,101,2012-10-31 21:13:19,38.957200,-92.372030
2012208524,TRESPASS SUBJECT,1406 FORUM BLVD-CO,101,2012-10-31 21:08:08,38.937000,-92.359760
2012208546,MISSING PERSON,4304 BEARFIELD RD S-BC,,2012-10-31 21:03:00,38.901151,-92.303723
2012208513,LAW ALARM,3911 SAVOY DR-CO,,2012-10-31 20:56:12,38.963620,-92.393480
2012208508,CHECK OPEN BUSINESS,2116 PARIS RD-CO,,2012-10-31 20:51:00,38.969620,-92.305170
2012208511,LARCENY,1000 WORLEY ST W-CO,,2012-10-31 20:48:33,38.959210,-92.353010
2012208507,HARASSMENT,103 FYFER PL-CO,,2012-10-31 20:47:34,38.949010,-92.313640
2012208509,LARCENY,1317 RALEIGH DR-CO,,2012-10-31 20:44:43,39.001230,-92.318560
2012208504,911 CHECKS,2500 OLD HIGHWAY 63 S-CO,,2012-10-31 20:42:17,38.921970,-92.306340
2012208493,TRAFFIC STOP,HIGHWAY 63 N NB-CO/BROADWAY E-CO,,2012-10-31 20:31:03,38.9464,-92.2935
2012208496,LARCENY,2707 LYNNWOOD DR-CO,,2012-10-31 20:30:52,38.920790,-92.351420
2012208492,TRESPASS SUBJECT,BALLENGER LN-CO/RICE RD-CO,,2012-10-31 20:23:08,38.9733,-92.2648
2012208491,DISTURBANCE,1204 BUSINESS LOOP 70 E-CO,,2012-10-31 20:22:41,38.963720,-92.322190
2012208486,ACCIDENT,PROVIDENCE RD S-CO/GREEN MEADOWS RD E-CO,,2012-10-31 20:06:26,38.9163,-92.3347
2012208485,VANDALISM,1600 BLK BROADWAY E-CO,,2012-10-31 20:02:29,38.9504,-92.3157
2012208599,ABANDONED  VEHICLE,CHAPEL HILL RD-CO/SUNBOROUGH DR-CO,,2012-10-31 19:46:32,38.9322,-92.3729
2012208473,STALLED VEHICLE,1250 I70 W-CO,,2012-10-31 19:45:29,38.9652,-92.3624
2012208505,LARCENY,2703 BROADWAY E-CO,125,2012-10-31 19:44:47,38.947290,-92.297390
2012208474,OTHER OFFENSE,BROADWAY E-CO/ANN ST S-CO,,2012-10-31 19:41:17,38.9502,-92.3144
2012208472,C&I; DRIVING,1310 I70 W-CO,,2012-10-31 19:40:42,38.9603,-92.2552
2012208464,911 CHECKS,1514 BUSINESS LOOP 70 E-CO,,2012-10-31 19:36:52,38.963610,-92.316610
2012208465,C&I; DRIVING,STADIUM BLVD W-CO/CARRIE FRANCKE DR-CO,,2012-10-31 19:36:20,38.938,-92.3434
2012208519,CHECK SUBJECT,4633 SOUTHAMPTON CT-CO,,2012-10-31 19:31:00,38.900430,-92.352170
2012208461,SOLICITOR,2010 SHALE RIDGE CT-CO,,2012-10-31 19:29:46,38.933790,-92.406060
2012208458,LARCENY,2406 WHITE GATE DR-CO,,2012-10-31 19:29:18,38.967410,-92.302020
2012208510,FRAUD,745 PEAR TREE CIR-CO,,2012-10-31 19:26:31,38.900570,-92.352680
2012208447,TRAFFIC STOP,RAIN FOREST PKWY-CO/PROVIDENCE RD N-CO,,2012-10-31 19:22:21,38.9901,-92.3332
2012208443,TRAFFIC STOP,CREASY SPRINGS RD-CO/BUSINESS LOOP 70 W-CO,,2012-10-31 19:17:48,38.9666,-92.3526
2012208446,911 CHECKS,1104 PROVIDENCE RD N-CO,HIGH,2012-10-31 19:15:01,38.963360,-92.331430
2012207670,ABANDONED  VEHICLE,HENWICH DR-CO/NEWBURY WY-CO,,2012-10-31 19:15:00,38.8947,-92.4128
2012208448,LARCENY,900 OAK HAVEN DR-CO,,2012-10-31 19:14:56,38.918890,-92.350960
2012208438,MISCELLANEOUS SERVICE,CITY,,2012-10-31 19:14:50,38.9525,-92.3305
2012208475,HARASSMENT,103 FYFER PL-CO,,2012-10-31 19:14:18,38.949010,-92.313640
2012208440,ABANDONED  VEHICLE,5005 RICE RD-CO,,2012-10-31 19:13:13,38.974440,-92.261350
2012208435,TRAFFIC STOP,COLLEGE AV N-CO/BUSINESS LOOP 70 E-CO,,2012-10-31 19:08:56,38.964,-92.3212
2012208431,ASSIST OFFICER,2101 ASH ST W-CO,,2012-10-31 19:00:22,38.958010,-92.372140
2012208429,DISTURBANCE,2001 NEWTON DR-CO,,2012-10-31 18:52:24,38.973430,-92.335930
2012208436,WARRANT,900 MOSS ST-CO,1,2012-10-31 18:42:42,38.960660,-92.311840
2012208423,ASSAULT,501 PROVIDENCE RD N-CO,,2012-10-31 18:42:12,38.957550,-92.334440
2012208418,TRAFFIC STOP,716 BUSINESS LOOP 70 E-CO,,2012-10-31 18:37:09,38.963610,-92.328020
2012208417,ACCIDENT,2100 BLK BERNADETTE DR-CO,,2012-10-31 18:34:49,38.9655,-92.3723
2012208416,TRAFFIC HAZARD,OLD HIGHWAY 63 N-CO/MONROE ST-CO,,2012-10-31 18:32:44,38.9621,-92.31
2012208419,FRAUD,900 KEENE ST N-CO,A,2012-10-31 18:32:39,38.960320,-92.287900
2012208413,CHILD ABUSE,CITY,,2012-10-31 18:26:58,38.9525,-92.3305
2012208410,LAW ALARM,106 RIDGELEY RD W-CO,,2012-10-31 18:23:41,38.939870,-92.339940
2012208408,SPECIAL ASSIGNMENT,4200 BETHEL ST-CO,,2012-10-31 18:22:58,38.905160,-92.343360
2012208405,TRAFFIC STOP,WORLEY ST E-CO/WOODLAWN AV-CO,,2012-10-31 18:19:37,38.9576,-92.3359
2012208402,FRAUD,2004 WORLEY ST W-CO,,2012-10-31 18:08:45,38.960710,-92.369730
2012208403,TRESPASS VEHICLE,11 SCOTT BLVD-CO,,2012-10-31 18:07:40,38.955310,-92.399390
2012208401,TRAFFIC STOP,SMILEY LN-CO/WHITE TIGER ST-CO,,2012-10-31 18:05:47,38.9933,-92.3264
2012208393,TRAFFIC STOP,STADIUM BLVD N-CO/WORLEY ST W-CO,,2012-10-31 17:54:31,38.9612,-92.3713
2012208389,911 CHECKS,415 CONLEY RD-CO,,2012-10-31 17:45:59,38.954950,-92.296690
2012208387,MISCELLANEOUS SERVICE,CITY,,2012-10-31 17:44:41,38.9525,-92.3305
2012208385,TRAFFIC STOP,BERNADETTE DR-CO/STADIUM BLVD N-CO,,2012-10-31 17:44:11,38.9653,-92.3712
2012208392,SUSPICIOUS PERSON,101 CONLEY RD-CO,,2012-10-31 17:42:48,38.951320,-92.296520
2012208386,ASSIST OFFICER,600 WALNUT ST E-CO,,2012-10-31 17:41:24,38.952480,-92.330470
2012208375,LAW ALARM,3300 VAWTER SCHOOL RD W-BC,,2012-10-31 17:31:15,38.910730,-92.387400
2012208376,CHECK TRAFFIC LIGHTS,STADIUM BLVD N-CO/I70 W-CO,,2012-10-31 17:24:13,38.9683,-92.3711
2012208377,ACCIDENT,1000 BLK I70 DR SOUTHWEST-CO,,2012-10-31 17:23:25,38.9653,-92.3533
2012208388,BURGLARY,1405 GARDEN DR-CO,,2012-10-31 17:22:05,38.970780,-92.376970
2012208372,CHECK SUBJECT,I70 E-CO/RANGE LINE ST-CO,,2012-10-31 17:19:26,38.9686,-92.3249
2012208371,TRAFFIC STOP,1909 PROVIDENCE RD N-CO,,2012-10-31 17:18:28,38.973140,-92.334750
2012208370,LARCENY,1412 RANGE LINE ST-CO,,2012-10-31 17:10:27,38.966120,-92.323940
2012208369,TRAFFIC STOP,CHAPEL HILL RD-CO/HANDLEY PL-CO,,2012-10-31 17:09:57,38.9351,-92.3796
2012208365,HARASSMENT,310 PROVIDENCE RD N-CO,,2012-10-31 17:08:03,38.955160,-92.333550
2012208361,TRAFFIC STOP,CHAPEL HILL RD-CO/KEYSTONE DR-CO,,2012-10-31 17:06:11,38.9339,-92.3926
2012208368,PARKING VIOLATION,1408 UNIVERSITY AV-CO,,2012-10-31 17:04:36,38.946110,-92.319580
2012208358,TRAFFIC STOP,PROVIDENCE RD N-CO/SEXTON RD E-CO,,2012-10-31 17:01:27,38.959,-92.3341
2012208353,TRAFFIC STOP,FACE ROCK CT-CO/CHAPEL HILL RD-CO,,2012-10-31 16:53:27,38.9334,-92.3772
2012208356,BURGLARY,507 NIFONG BLVD E-CO,,2012-10-31 16:52:52,38.911200,-92.331700
2012208351,TRESPASS SUBJECT,4515 HIGHWAY 763 N-BC,,2012-10-31 16:44:20,38.997550,-92.324620
2012208349,DISTURBANCE,503 GARTH AV N-CO,,2012-10-31 16:36:08,38.958330,-92.339020
2012208346,PARKING VIOLATION,2940 LEEWAY DR-CO,,2012-10-31 16:34:22,38.986260,-92.293500
2012208363,ACCIDENT,303 KEENE ST N-CO,206,2012-10-31 16:32:32,38.954620,-92.290960
2012208345,ACCIDENT,EIGHTH ST N-CO/BROADWAY E-CO,,2012-10-31 16:28:16,38.9516,-92.3286
2012208339,TRESPASS SUBJECT,1104 PROVIDENCE RD N-CO,,2012-10-31 16:25:22,38.963360,-92.331430
2012208341,OTHER OFFENSE,4130 LENOIR ST-CO,58,2012-10-31 16:22:39,38.905040,-92.289460
2012208342,MISSING VEHICLE,2800 GOODWIN POINTE DR-CO,,2012-10-31 16:20:43,38.928920,-92.296400
2012208335,911 CHECKS,933 OLD PLANK RD W-CO,,2012-10-31 16:16:33,,
2012208333,CHECK SUBJECT,900 RANGE LINE ST-CO,,2012-10-31 16:13:49,38.960170,-92.324590
2012208330,TRAFFIC STOP,CHAPEL HILL RD-CO/FACE ROCK CT-CO,,2012-10-31 16:10:54,38.9334,-92.3772
2012208329,ABANDONED  VEHICLE,915 SUNSET LN-CO,,2012-10-31 16:09:07,38.951300,-92.352350
2012208328,LAW ALARM,812 WINDERMERE DR-CO,,2012-10-31 16:06:27,38.947640,-92.405100
2012208326,ASSIST OFFICER,CHAPEL HILL RD-CO/FAIRVIEW RD S-CO,,2012-10-31 16:01:12,38.9355,-92.381
2012208323,TRAFFIC STOP,CHAPEL HILL RD-CO/FAIRVIEW RD S-CO,,2012-10-31 15:53:03,38.9355,-92.381
2012208327,CIVIL MATTER,4004 PEACH CT-CO,A,2012-10-31 15:52:34,38.905790,-92.338490
2012208322,SPECIAL ASSIGNMENT,310 PROVIDENCE RD N-CO,,2012-10-31 15:51:18,38.955160,-92.333550
2012208309,SPECIAL ASSIGNMENT,401 CLINKSCALES RD-CO,,2012-10-31 15:37:42,38.959570,-92.362770
2012208308,C&I; DRIVING,1250 I70 E-CO,,2012-10-31 15:35:04,38.9651,-92.3625
2012208306,TRAFFIC STOP,CHAPEL HILL RD-CO/HANDLEY PL-CO,,2012-10-31 15:34:34,38.9351,-92.3796
2012208312,BURGLARY,2406 WHITE GATE DR-CO,30,2012-10-31 15:32:33,38.967410,-92.302020
2012208295,ASSAULT,203 ANITA CT-CO,,2012-10-31 15:18:38,38.953380,-92.308280
2012208292,LARCENY,3301 NEW HAVEN RD-CO,,2012-10-31 15:15:14,38.913440,-92.289320
2012208290,SPECIAL ASSIGNMENT,310 PROVIDENCE RD N-CO,,2012-10-31 15:14:22,38.955160,-92.333550
2012208293,FRAUD,3100 BROADWAY W-CO,,2012-10-31 15:14:18,38.953330,-92.383650
2012208289,FRAUD,1704 PROVIDENCE RD N-CO,,2012-10-31 15:09:24,38.970570,-92.333170
2012208287,STALLED VEHICLE,SCOTT BLVD-CO/CHAPEL HILL RD-CO,,2012-10-31 15:06:27,38.9344,-92.3996
2012208283,PARKING VIOLATION,711 RIDGEWAY AV-CO,,2012-10-31 15:03:45,38.961680,-92.347570
2012208282,TRESPASS SUBJECT,2203 RANGE LINE ST-CO,2A,2012-10-31 14:57:57,38.974800,-92.327300
2012208280,911 CHECKS,103 STADIUM BLVD N-CO,121,2012-10-31 14:56:52,38.956010,-92.372270
2012208279,STALLED VEHICLE,1230 I70 E-CO,,2012-10-31 14:55:17,38.9706,-92.3989
2012208273,SPECIAL ASSIGNMENT,CITY,,2012-10-31 14:50:48,38.9525,-92.3305
2012208274,911 CHECKS,2012 ASH ST W-CO,I14,2012-10-31 14:48:22,38.956020,-92.370040
2012208276,STALLED VEHICLE,HIGHWAY 63 CONNECTOR NB-CO/CONLEY RD-CO,,2012-10-31 14:46:11,38.9594,-92.2923
2012208271,MISCELLANEOUS SERVICE,CITY,,2012-10-31 14:43:09,38.9525,-92.3305
2012208268,911 CHECKS,315 TRINITY PL-CO,,2012-10-31 14:35:25,38.955830,-92.335700
2012208261,MISCELLANEOUS SERVICE,CITY,,2012-10-31 14:30:42,38.9525,-92.3305
2012208260,911 CHECKS,28 ALLEN ST-CO,,2012-10-31 14:26:13,38.955110,-92.336460
2012208259,C&I; DRIVING,1209 WALNUT ST E-CO,3,2012-10-31 14:24:56,38.952810,-92.323230
2012208270,PARKING VIOLATION,400 BLK HIRTH AV-CO,,2012-10-31 14:23:01,38.9578,-92.3462
2012208255,911 CHECKS,2300 HOLLY AV-CO,,2012-10-31 14:18:27,,
2012208254,TRESPASS SUBJECT,4515 HIGHWAY 763 N-BC,,2012-10-31 14:16:54,38.997550,-92.324620
